Date,VH,Team,Spread
2/11,V,Portland,231.5
2/11,H,OklahomaCity,5
2/11,V,Dallas,224.5
2/11,H,Houston,11
2/11,V,Milwaukee,11.5
2/11,H,Chicago,227
2/11,V,LAClippers,233
2/11,H,Minnesota,3.5
2/11,V,Miami,213
2/11,H,Denver,10
2/12,V,LALakers,6
2/12,H,Atlanta,239
2/12,V,Orlando,223
2/12,H,NewOrleans,4.5
2/12,V,Boston,225
2/12,H,Philadelphia,7
2/12,V,SanAntonio,7
2/12,H,Memphis,207.5
2/12,V,Utah,229.5
2/12,H,GoldenState,9
2/13,V,Brooklyn,7.5
2/13,H,Cleveland,225
2/13,V,Milwaukee,4.5
2/13,H,Indiana,218.5
2/13,V,Detroit,211
2/13,H,Boston,3.5
2/13,V,Washington,232.5
2/13,H,Toronto,9.5
2/13,V,Philadelphia,10
2/13,H,NewYork,222.5
2/13,V,Memphis,207.5
2/13,H,Chicago,1.5
2/13,V,Miami,208
2/13,H,Dallas,3
2/13,V,Sacramento,232.5
2/13,H,Denver,7.5
2/13,V,Houston,4
2/13,H,Minnesota,231.5
2/13,V,GoldenState,2
2/13,H,Portland,235
2/13,V,Phoenix,232.5
2/13,H,LAClippers,8
2/14,V,Charlotte,215
2/14,H,Orlando,4
2/14,V,NewYork,228
2/14,H,Atlanta,7.5
2/14,V,OklahomaCity,4.5
2/14,H,NewOrleans,238.5
2/21,V,Miami,220.5
2/21,H,Philadelphia,5.5
2/21,V,Phoenix,221.5
2/21,H,Cleveland,1
2/21,V,Portland,3
2/21,H,Brooklyn,231.5
2/21,V,Boston,227
2/21,H,Milwaukee,6
2/21,V,Houston,3
2/21,H,LALakers,233.5
2/21,V,Sacramento,239
2/21,H,GoldenState,12
2/22,V,Washington,231.5
2/22,H,Charlotte,5
2/22,V,NewOrleans,223
2/22,H,Indiana,5
2/22,V,Chicago,216.5
2/22,H,Orlando,8
2/22,V,SanAntonio,227
2/22,H,Toronto,8
2/22,V,Minnesota,3.5
2/22,H,NewYork,220
2/22,V,Detroit,4.5
2/22,H,Atlanta,221.5
2/22,V,LAClippers,3
2/22,H,Memphis,217
2/22,V,Denver,7
2/22,H,Dallas,223
2/22,V,Utah,227
2/22,H,OklahomaCity,4.5
2/23,V,Portland,229.5
2/23,H,Philadelphia,2
2/23,V,Memphis,209
2/23,H,Cleveland,1.5
2/23,V,Indiana,227
2/23,H,Washington,pk
2/23,V,Brooklyn,228
2/23,H,Charlotte,3
2/23,V,LALakers,6.5
2/23,H,NewOrleans,234.5
2/23,V,Phoenix,234
2/23,H,Atlanta,3
2/23,V,Detroit,209.5
2/23,H,Miami,3.5
2/23,V,Boston,10
2/23,H,Chicago,220
2/23,V,Sacramento,240
2/23,H,OklahomaCity,5.5
2/23,V,Houston,232
2/23,H,GoldenState,12
2/23,V,Minnesota,232.5
2/23,H,Milwaukee,13
2/23,V,Dallas,214
2/23,H,Utah,11.5
2/24,V,Orlando,216
2/24,H,Toronto,7
2/24,V,LAClippers,235
2/24,H,Denver,9
2/24,V,SanAntonio,9
2/24,H,NewYork,226
2/25,V,Portland,9
2/25,H,Cleveland,225
2/25,V,Indiana,211.5
2/25,H,Detroit,2.5
2/25,V,GoldenState,8.5
2/25,H,Charlotte,233.5
2/25,V,Phoenix,217
2/25,H,Miami,8
2/25,V,SanAntonio,233.5
2/25,H,Brooklyn,1.5
2/25,V,Milwaukee,8
2/25,H,Chicago,224.5
2/25,V,Atlanta,233.5
2/25,H,Houston,12.5
2/25,V,Philadelphia,2.5
2/25,H,NewOrleans,240.5
2/25,V,Sacramento,237.5
2/25,H,Minnesota,3.5
2/25,V,LALakers,5
2/25,H,Memphis,222
2/25,V,Dallas,229.5
2/25,H,LAClippers,3.5
2/26,V,Orlando,7.5
2/26,H,NewYork,215.5
2/26,V,Boston,226
2/26,H,Toronto,3.5
2/26,V,OklahomaCity,238
2/26,H,Denver,3.5
2/27,V,Houston,5
2/27,H,Charlotte,227.5
2/27,V,Minnesota,5
2/27,H,Atlanta,235.5
2/27,V,Portland,228
2/27,H,Boston,2.5
2/27,V,Washington,237.5
2/27,H,Brooklyn,5
2/27,V,GoldenState,9.5
2/27,H,Miami,225.5
2/27,V,Chicago,216.5
2/27,H,Memphis,3
2/27,V,Detroit,220.5
2/27,H,SanAntonio,4
2/27,V,Indiana,1
2/27,H,Dallas,214.5
2/27,V,LAClippers,227
2/27,H,Utah,10
2/27,V,Milwaukee,6.5
2/27,H,Sacramento,237.5
2/27,V,NewOrleans,239.5
2/27,H,LALakers,6
2/28,V,Minnesota,221.5
2/28,H,Indiana,3.5
2/28,V,GoldenState,4.5
2/28,H,Orlando,224
2/28,V,Cleveland,221
2/28,H,NewYork,1.5
2/28,V,Miami,219
2/28,H,Houston,9.5
2/28,V,Utah,224.5
2/28,H,Denver,7.5
2/28,V,Philadelphia,239.5
2/28,H,OklahomaCity,4
3/1,V,Portland,229.5
3/1,H,Toronto,5
3/1,V,Chicago,1
3/1,H,Atlanta,230
3/1,V,Charlotte,228
3/1,H,Brooklyn,2.5
3/1,V,Washington,234.5
3/1,H,Boston,10
3/1,V,NewOrleans,4.5
3/1,H,Phoenix,239
3/1,V,LAClippers,238
3/1,H,Sacramento,3
3/1,V,Milwaukee,5.5
3/1,H,LALakers,239
3/2,V,Detroit,8.5
3/2,H,Cleveland,214.5
3/2,V,Orlando,209.5
3/2,H,Indiana,3
3/2,V,Brooklyn,222.5
3/2,H,Miami,2
3/2,V,Memphis,214.5
3/2,H,Dallas,4.5
3/2,V,GoldenState,5
3/2,H,Philadelphia,238
3/2,V,OklahomaCity,229
3/2,H,SanAntonio,5
3/2,V,LALakers,7
3/2,H,Phoenix,234.5
3/2,V,Milwaukee,223
3/2,H,Utah,5
3/2,V,NewOrleans,238
3/2,H,Denver,13.5
3/3,V,Portland,2.5
3/3,H,Charlotte,224.5
3/3,V,Houston,225.5
3/3,H,Boston,2
3/3,V,Atlanta,229
3/3,H,Chicago,4
3/3,V,NewYork,226.5
3/3,H,LAClippers,10
3/3,V,Orlando,6
3/3,H,Cleveland,214.5
3/3,V,Toronto,2.5
3/3,H,Detroit,217.5
3/3,V,Minnesota,PK
3/3,H,Washington,240.5
3/3,V,Memphis,217.5
3/3,H,OklahomaCity,9.5
3/4,V,Dallas,226.5
3/4,H,Brooklyn,5.5
3/4,V,Atlanta,222
3/4,H,Miami,9.5
3/4,V,Denver,229.5
3/4,H,SanAntonio,1.5
3/4,V,Milwaukee,13.5
3/4,H,Phoenix,232.5
3/4,V,NewOrleans,231.5
3/4,H,Utah,9.5
3/4,V,NewYork,229
3/4,H,Sacramento,11
3/4,V,LAClippers,235
3/4,H,LALakers,3.5
3/5,V,Orlando,222
3/5,H,Philadelphia,4
3/5,V,Chicago,217.5
3/5,H,Indiana,6.5
3/5,V,Houston,229
3/5,H,Toronto,3.5
3/5,V,Portland,5.5
3/5,H,Memphis,215.5
3/5,V,OklahomaCity,2
3/5,H,Minnesota,236.5
3/5,V,Boston,228.5
3/5,H,GoldenState,7
3/6,V,Miami,215.5
3/6,H,Charlotte,3.5
3/6,V,Dallas,232.5
3/6,H,Washington,5.5
3/6,V,Minnesota,223.5
3/6,H,Detroit,4.5
3/6,V,SanAntonio,5.5
3/6,H,Atlanta,234
3/6,V,Cleveland,228
3/6,H,Brooklyn,9.5
3/6,V,Utah,4.5
3/6,H,NewOrleans,230
3/6,V,Philadelphia,4
3/6,H,Chicago,230
3/6,V,NewYork,227.5
3/6,H,Phoenix,3.5
3/6,V,Boston,2
3/6,H,Sacramento,227
3/6,V,Denver,5
3/6,H,LALakers,231
3/7,V,Indiana,223
3/7,H,Milwaukee,10
3/7,V,OklahomaCity,233
3/7,H,Portland,3.5
3/8,V,Washington,234
3/8,H,Charlotte,4
3/8,V,Dallas,214
3/8,H,Orlando,7
3/8,V,Utah,4.5
3/8,H,Memphis,209
3/8,V,Cleveland,213.5
3/8,H,Miami,9
3/8,V,Toronto,9.5
3/8,H,NewOrleans,230
3/8,V,Philadelphia,230.5
3/8,H,Houston,7.5
3/8,V,Detroit,3.5
3/8,H,Chicago,218.5
3/8,V,Denver,234.5
3/8,H,GoldenState,7
3/8,V,OklahomaCity,236.5
3/8,H,LAClippers,2
3/9,V,Sacramento,5.5
3/9,H,NewYork,225.5
3/9,V,Brooklyn,4.5
3/9,H,Atlanta,238
3/9,V,Washington,242
3/9,H,Minnesota,7
3/9,V,Boston,7
3/9,H,LALakers,220.5
3/9,V,Charlotte,228
3/9,H,Milwaukee,12
3/9,V,Phoenix,226.5
3/9,H,Portland,12.5
3/10,V,Chicago,214
3/10,H,Detroit,9
3/10,V,Toronto,214.5
3/10,H,Miami,1.5
3/10,V,Indiana,217.5
3/10,H,Philadelphia,6.5
3/10,V,NewOrleans,237
3/10,H,Atlanta,1
3/10,V,Orlando,208.5
3/10,H,Memphis,pk
3/10,V,Houston,8.5
3/10,H,Dallas,222.5
3/10,V,Milwaukee,2
3/10,H,SanAntonio,229
3/10,V,NewYork,222.5
3/10,H,Minnesota,6.5
3/10,V,Phoenix,234
3/10,H,GoldenState,17
3/11,V,Toronto,8.5
3/11,H,Cleveland,224.5
3/11,V,Sacramento,240
3/11,H,Washington,2
3/11,V,Detroit,222.5
3/11,H,Brooklyn,2
3/11,V,Charlotte,223
3/11,H,Houston,10
3/11,V,OklahomaCity,226
3/11,H,Utah,4
3/11,V,Boston,2
3/11,H,LAClippers,227.5
3/12,V,NewYork,208.5
3/12,H,Indiana,11
3/12,V,Cleveland,223.5
3/12,H,Philadelphia,15
3/12,V,Milwaukee,10.5
3/12,H,NewOrleans,236.5
3/12,V,LALakers,2
3/12,H,Chicago,225.5
3/12,V,SanAntonio,3.5
3/12,H,Dallas,218.5
3/12,V,Minnesota,227.5
3/12,H,Denver,9.5
3/12,V,Portland,4
3/12,H,LAClippers,232.5
3/13,V,Detroit,208
3/13,H,Miami,2
3/13,V,Orlando,226.5
3/13,H,Washington,2
3/13,V,Memphis,1
3/13,H,Atlanta,223.5
3/13,V,Brooklyn,232.5
3/13,H,OklahomaCity,7
3/13,V,GoldenState,228
3/13,H,Houston,4
3/13,V,Utah,8.5
3/13,H,Phoenix,219.5
3/14,V,Cleveland,212
3/14,H,Orlando,8.5
3/14,V,OklahomaCity,217.5
3/14,H,Indiana,pk
3/14,V,Sacramento,228
3/14,H,Boston,8
3/14,V,LALakers,230
3/14,H,Toronto,7
3/14,V,Minnesota,220.5
3/14,H,Utah,9
3/14,V,Dallas,220.5
3/14,H,Denver,11.5
3/15,V,LALakers,215.5
3/15,H,Detroit,12.5
3/15,V,Sacramento,233.5
3/15,H,Philadelphia,11
3/15,V,Charlotte,233.5
3/15,H,Washington,3
3/15,V,Phoenix,226
3/15,H,Houston,12.5
3/15,V,Portland,9
3/15,H,NewOrleans,233
3/15,V,Milwaukee,5
3/15,H,Miami,220.5
3/15,V,NewYork,214
3/15,H,SanAntonio,13.5
3/15,V,Chicago,229.5
3/15,H,LAClippers,9
3/16,V,Atlanta,233
3/16,H,Boston,10.5
3/16,V,Memphis,225
3/16,H,Washington,1.5
3/16,V,Phoenix,235
3/16,H,NewOrleans,4.5
3/16,V,GoldenState,228.5
3/16,H,OklahomaCity,2
3/16,V,Portland,223
3/16,H,SanAntonio,2.5
3/16,V,Cleveland,217.5
3/16,H,Dallas,5
3/16,V,Indiana,214
3/16,H,Denver,7
3/16,V,Brooklyn,218.5
3/16,H,Utah,9
3/17,V,LALakers,5
3/17,H,NewYork,220.5
3/17,V,Charlotte,210
3/17,H,Miami,3
3/17,V,Philadelphia,230
3/17,H,Milwaukee,5.5
3/17,V,Toronto,215.5
3/17,H,Detroit,pk
3/17,V,Atlanta,225
3/17,H,Orlando,9
3/17,V,Chicago,231
3/17,H,Sacramento,6.5
3/17,V,Minnesota,224.5
3/17,H,Houston,9.5
3/17,V,Brooklyn,230
3/17,H,LAClippers,6
3/18,V,Detroit,6.5
3/18,H,Cleveland,212
3/18,V,Utah,5.5
3/18,H,Washington,227
3/18,V,Denver,221.5
3/18,H,Boston,4.5
3/18,V,NewYork,213.5
3/18,H,Toronto,12.5
3/18,V,Miami,209.5
3/18,H,OklahomaCity,5.5
3/18,V,GoldenState,3
3/18,H,SanAntonio,226.5
3/18,V,NewOrleans,232.5
3/18,H,Dallas,5
3/18,V,Chicago,227
3/18,H,Phoenix,2.5
3/18,V,Indiana,211
3/18,H,Portland,5
3/19,V,Philadelphia,223
3/19,H,Charlotte,1
3/19,V,Houston,8
3/19,H,Atlanta,233
3/19,V,GoldenState,6.5
3/19,H,Minnesota,230
3/19,V,LALakers,228.5
3/19,H,Milwaukee,11.5
3/19,V,Brooklyn,231
3/19,H,Sacramento,3.5
3/19,V,Indiana,219
3/19,H,LAClippers,5.5
3/20,V,Milwaukee,5.5
3/20,H,Cleveland,224.5
3/20,V,NewOrleans,224
3/20,H,Orlando,9.5
3/20,V,Boston,224
3/20,H,Philadelphia,3.5
3/20,V,Utah,12.5
3/20,H,NewYork,210.5
3/20,V,Washington,4
3/20,H,Chicago,229
3/20,V,Houston,6
3/20,H,Memphis,215.5
3/20,V,Miami,211
3/20,H,SanAntonio,5.5
3/20,V,Toronto,227
3/20,H,OklahomaCity,5
3/20,V,Dallas,217.5
3/20,H,Portland,10
3/21,V,Minnesota,223
3/21,H,Charlotte,6
3/21,V,Denver,8.5
3/21,H,Washington,229.5
3/21,V,Utah,7.5
3/21,H,Atlanta,226
3/21,V,Dallas,228.5
3/21,H,Sacramento,9
3/21,V,Detroit,7
3/21,H,Phoenix,217.5
3/21,V,Indiana,218.5
3/21,H,GoldenState,10.5
3/22,V,Memphis,205.5
3/22,H,Orlando,10.5
3/22,V,Denver,11.5
3/22,H,NewYork,215
3/22,V,LAClippers,6.5
3/22,H,Cleveland,226.5
3/22,V,OklahomaCity,225
3/22,H,Toronto,2
3/22,V,SanAntonio,221.5
3/22,H,Houston,6
3/22,V,Miami,218
3/22,H,Milwaukee,7.5
3/22,V,Brooklyn,2.5
3/22,H,LALakers,232.5
3/23,V,Boston,4
3/23,H,Charlotte,222
3/23,V,Miami,220.5
3/23,H,Washington,1
3/23,V,Philadelphia,7.5
3/23,H,Atlanta,236.5
3/23,V,Minnesota,217
3/23,H,Memphis,1
3/23,V,Utah,11
3/23,H,Chicago,213
3/23,V,Dallas,219.5
3/23,H,GoldenState,13.5
3/23,V,Detroit,215.5
3/23,H,Portland,5.5
3/23,V,Phoenix,230.5
3/23,H,Sacramento,10.5
3/24,V,LAClippers,8.5
3/24,H,NewYork,223.5
3/24,V,Cleveland,223
3/24,H,Milwaukee,13.5
3/24,V,Denver,1.5
3/24,H,Indiana,210.5
3/24,V,Charlotte,223
3/24,H,Toronto,11.5
3/24,V,Houston,10
3/24,H,NewOrleans,229.5
3/24,V,SanAntonio,2
3/24,H,Boston,222
3/24,V,Detroit,219
3/24,H,GoldenState,10
3/24,V,Sacramento,231.5
3/24,H,LALakers,pk
3/25,V,Philadelphia,219
3/25,H,Orlando,2
3/25,V,OklahomaCity,7.5
3/25,H,Memphis,216.5
3/25,V,Phoenix,216
3/25,H,Utah,14
3/25,V,Brooklyn,223.5
3/25,H,Portland,6
3/25,V,Boston,6
3/25,H,Cleveland,216.5
3/26,V,SanAntonio,4.5
3/26,H,Charlotte,220
3/26,V,Orlando,205
3/26,H,Miami,3.5
3/26,V,Chicago,219
3/26,H,Toronto,14.5
3/26,V,LAClippers,3
3/26,H,Minnesota,229.5
3/26,V,Atlanta,2.5
3/26,H,NewOrleans,242.5
3/26,V,Houston,224
3/26,H,Milwaukee,2.5
3/26,V,Sacramento,2
3/26,H,Dallas,226
3/26,V,Detroit,213
3/26,H,Denver,7.5
3/26,V,Washington,237.5
3/26,H,LALakers,2.5
3/27,V,Indiana,217.5
3/27,H,OklahomaCity,6.5
3/27,V,GoldenState,9.5
3/27,H,Memphis,220.5
3/27,V,Portland,9.5
3/27,H,Chicago,216
3/27,V,Washington,1
3/27,H,Phoenix,230.5
3/27,V,LALakers,219
3/27,H,Utah,16
3/28,V,Brooklyn,232
3/28,H,Philadelphia,7
3/28,V,Orlando,205.5
3/28,H,Detroit,3
3/28,V,Toronto,10
3/28,H,NewYork,219.5
3/28,V,Dallas,212.5
3/28,H,Miami,6.5
3/28,V,Sacramento,6.5
3/28,H,NewOrleans,234
3/28,V,LAClippers,231
3/28,H,Milwaukee,10.5
3/28,V,Denver,216.5
3/28,H,Houston,6
3/28,V,Cleveland,217
3/28,H,SanAntonio,12
3/29,V,Indiana,213
3/29,H,Boston,7
3/29,V,Portland,2.5
3/29,H,Atlanta,233
3/29,V,Denver,218
3/29,H,OklahomaCity,4.5
3/29,V,GoldenState,10
3/29,H,Minnesota,229
3/29,V,Washington,226
3/29,H,Utah,13
3/29,V,Charlotte,1.5
3/29,H,LALakers,229.5
3/30,V,Cleveland,228.5
3/30,H,LAClippers,9
3/30,V,Boston,222.5
3/30,H,Brooklyn,4.5
3/30,V,Sacramento,229
3/30,H,Houston,9.5
3/30,V,Portland,214
3/30,H,Detroit,4.5
3/30,V,Orlando,205.5
3/30,H,Indiana,1.5
3/30,V,Miami,7
3/30,H,NewYork,209
3/30,V,Philadelphia,4.5
3/30,H,Minnesota,230
3/30,V,Toronto,10.5
3/30,H,Chicago,214
3/30,V,Memphis,2.5
3/30,H,Phoenix,220.5
3/31,V,Milwaukee,2
3/31,H,Atlanta,230.5
3/31,V,Dallas,218
3/31,H,OklahomaCity,12.5
3/31,V,LALakers,231
3/31,H,NewOrleans,3
3/31,V,Sacramento,224.5
3/31,H,SanAntonio,10.5
3/31,V,Washington,227.5
3/31,H,Denver,10.5
3/31,V,Charlotte,230
3/31,H,GoldenState,11
3/31,V,Memphis,224
3/31,H,LAClippers,10
4/1,V,Detroit,203.5
4/1,H,Indiana,5.5
4/1,V,Miami,213
4/1,H,Boston,7
4/1,V,Milwaukee,229.5
4/1,H,Brooklyn,1.5
4/1,V,Orlando,216
4/1,H,Toronto,6.5
4/1,V,Chicago,213
4/1,H,NewYork,3.5
4/1,V,Portland,3.5
4/1,H,Minnesota,225.5
4/1,V,Philadelphia,5
4/1,H,Dallas,219
4/1,V,Charlotte,218
4/1,H,Utah,11
4/1,V,Cleveland,224
4/1,H,Phoenix,2
4/2,V,LALakers,226
4/2,H,OklahomaCity,12.5
4/2,V,Atlanta,230
4/2,H,SanAntonio,11
4/2,V,Houston,5.5
4/2,H,Sacramento,226
4/2,V,Denver,220
4/2,H,GoldenState,8.5
4/3,V,Indiana,205.5
4/3,H,Detroit,2.5
4/3,V,NewYork,212.5
4/3,H,Orlando,13
4/3,V,Chicago,225.5
4/3,H,Washington,9.5
4/3,V,Philadelphia,4.5
4/3,H,Atlanta,239.5
4/3,V,Boston,214
4/3,H,Miami,1
4/3,V,Toronto,2
4/3,H,Brooklyn,228.5
4/3,V,Charlotte,4.5
4/3,H,NewOrleans,229.5
4/3,V,Minnesota,227
4/3,H,Dallas,2.5
4/3,V,SanAntonio,214.5
4/3,H,Denver,5
4/3,V,Utah,10.5
4/3,H,Phoenix,219.5
4/3,V,Memphis,216.5
4/3,H,Portland,10.5
4/3,V,Houston,2.5
4/3,H,LAClippers,229
4/4,V,Milwaukee,4
4/4,H,Philadelphia,231.5
4/4,V,Cleveland,229.5
4/4,H,Sacramento,10
4/4,V,GoldenState,13.5
4/4,H,LALakers,226.5
4/5,V,SanAntonio,7
4/5,H,Washington,225.5
4/5,V,Toronto,6
4/5,H,Charlotte,224
4/5,V,Atlanta,225.5
4/5,H,Orlando,9
4/5,V,NewYork,216.5
4/5,H,Houston,18
4/5,V,Boston,213.5
4/5,H,Indiana,pk
4/5,V,Miami,4
4/5,H,Minnesota,218.5
4/5,V,Detroit,216
4/5,H,OklahomaCity,5.5
4/5,V,Memphis,211.5
4/5,H,Dallas,4
4/5,V,Sacramento,222
4/5,H,Utah,10
4/5,V,NewOrleans,2.5
4/5,H,Phoenix,228.5
4/5,V,Cleveland,225
4/5,H,GoldenState,15.5
4/5,V,LALakers,228
4/5,H,LAClippers,11.5
4/5,V,Portland,216
4/5,H,Denver,6
4/6,V,Brooklyn,235.5
4/6,H,Milwaukee,3.5
4/6,V,Philadelphia,10.5
4/6,H,Chicago,227.5
4/7,V,Miami,214.5
4/7,H,Toronto,5.5
4/7,V,SanAntonio,8.5
4/7,H,Cleveland,219.5
4/7,V,OklahomaCity,6.5
4/7,H,Minnesota,229
4/7,V,Charlotte,217.5
4/7,H,Detroit,6.5
4/7,V,Brooklyn,220
4/7,H,Indiana,2.5
4/7,V,Dallas,214
4/7,H,Memphis,pk
4/7,V,Atlanta,235
4/7,H,Milwaukee,11.5
4/7,V,Phoenix,223
4/7,H,Houston,18.5
4/7,V,Orlando,218
4/7,H,Boston,3.5
4/7,V,Washington,4
4/7,H,NewYork,226
4/7,V,LAClippers,237.5
4/7,H,GoldenState,11.5
4/7,V,Denver,219
4/7,H,Portland,8.5
4/7,V,NewOrleans,232.5
4/7,H,Sacramento,11.5
4/7,V,Utah,12
4/7,H,LALakers,216.5
4/9,V,Memphis,210
4/9,H,Detroit,11.5
4/9,V,Charlotte,8.5
4/9,H,Cleveland,220.5
4/9,V,Boston,222.5
4/9,H,Washington,5
4/9,V,Philadelphia,219
4/9,H,Miami,6.5
4/9,V,NewYork,215
4/9,H,Chicago,2
4/9,V,Toronto,7.5
4/9,H,Minnesota,227
4/9,V,GoldenState,9.5
4/9,H,NewOrleans,235
4/9,V,Phoenix,225
4/9,H,Dallas,8.5
4/9,V,Denver,212.5
4/9,H,Utah,2
4/9,V,Houston,3
4/9,H,OklahomaCity,229.5
4/9,V,Portland,9.5
4/9,H,LALakers,225.5
4/10,V,GoldenState,5
4/10,H,Memphis,214.5
4/10,V,OklahomaCity,4.5
4/10,H,Milwaukee,227.5
4/10,V,Dallas,219
4/10,H,SanAntonio,14.5
4/10,V,Chicago,218.5
4/10,H,Philadelphia,6
4/10,V,Orlando,217.5
4/10,H,Charlotte,4
4/10,V,Indiana,225.5
4/10,H,Atlanta,5
4/10,V,Miami,219
4/10,H,Brooklyn,4.5
4/10,V,Detroit,8.5
4/10,H,NewYork,205
4/10,V,Minnesota,218.5
4/10,H,Denver,12.5
4/10,V,Sacramento,226.5
4/10,H,Portland,3
4/10,V,Utah,225
4/10,H,LAClippers,8
4/13,V,Brooklyn,228.5
4/13,H,Philadelphia,8
4/13,V,Orlando,212.5
4/13,H,Toronto,9.5
4/13,V,LAClippers,234
4/13,H,GoldenState,13.5
4/13,V,SanAntonio,210.5
4/13,H,Denver,6
4/14,V,Indiana,210
4/14,H,Boston,8
4/14,V,OklahomaCity,224.5
4/14,H,Portland,3
4/14,V,Detroit,215.5
4/14,H,Milwaukee,15
4/14,V,Utah,212.5
4/14,H,Houston,6.5
4/15,V,Brooklyn,224
4/15,H,Philadelphia,8.5
4/15,V,LAClippers,234
4/15,H,GoldenState,13.5
4/16,V,Orlando,212.5
4/16,H,Toronto,11
4/16,V,SanAntonio,210.5
4/16,H,Denver,7
4/16,V,OklahomaCity,224.5
4/16,H,Portland,1
4/17,V,Indiana,207
4/17,H,Boston,8
4/17,V,Detroit,215.5
4/17,H,Milwaukee,15.5
4/17,V,Utah,216
4/17,H,Houston,6.5
4/18,V,Philadelphia,1
4/18,H,Brooklyn,229.5
4/18,V,Denver,207
4/18,H,SanAntonio,4.5
4/18,V,GoldenState,9
4/18,H,LAClippers,234
4/19,V,Toronto,5.5
4/19,H,Orlando,211
4/19,V,Boston,204
4/19,H,Indiana,2.5
4/19,V,Portland,221
4/19,H,OklahomaCity,7
4/20,V,Philadelphia,3
4/20,H,Brooklyn,231
4/20,V,Denver,209.5
4/20,H,SanAntonio,4
4/20,V,Milwaukee,9
4/20,H,Detroit,216.5
4/20,V,Houston,214.5
4/20,H,Utah,2.5
4/21,V,Boston,3.5
4/21,H,Indiana,204.5
4/21,V,Golden State,9.5
4/21,H,LA Clippers,236
4/21,V,Toronto,5.5
4/21,H,Orlando,206
4/21,V,Portland,222
4/21,H,Oklahoma City,5.5
4/22,V,Milwaukee,12
4/22,H,Detroit,220
4/22,V,Houston,2
4/22,H,Utah,214.5
4/23,V,San Antonio,210.5
4/23,H,Denver,5.5
4/23,V,Oklahoma City,222
4/23,H,Portland,4
4/23,V,Orlando,206
4/23,H,Toronto,11
4/23,V,Brooklyn,229.5
4/23,H,Philadelphia,9.5
4/24,V,LA Clippers,231.5
4/24,H,Golden State,15
4/24,V,Utah,213.5
4/24,H,Houston,8.5
4/25,V,Denver,209
4/25,H,San Antonio,3
4/26,V,Golden State,10.5
4/26,H,LA Clippers,232
4/27,V,San Antonio,207.5
4/27,H,Denver,6
4/27,V,Philadelphia,223.5
4/27,H,Toronto,6
4/28,V,Boston,223
4/28,H,Milwaukee,8
4/28,V,Houston,224
4/28,H,Golden State,6.5
4/29,V,Philadelphia,219.5
4/29,H,Toronto,7.5
4/29,V,Portland,215
4/29,H,Denver,4
4/30,V,Boston,219
4/30,H,Milwaukee,8
4/30,V,Houston,222
4/30,H,Golden State,5.5
5/1,V,Portland,219.5
5/1,H,Denver,4
5/2,V,Toronto,1.5
5/2,H,Philadelphia,216
5/3,V,Milwaukee,220
5/3,H,Boston,2
5/3,V,Denver,215
5/3,H,Portland,5
5/4,V,Golden State,219.5
5/4,H,Houston,3.5
5/5,V,Toronto,215
5/5,H,Philadelphia,2
5/5,V,Denver,211
5/5,H,Portland,3